year,co2,co2_growth_prct,CSIRO Adjusted Sea Level
1880,853.916,12.953,0.0
1881,883.544,3.47,0.220472441
1882,933.36,5.638,-0.440944881
1883,992.754,6.363,-0.232283464
1884,1004.134,1.146,0.590551181
1885,1011.637,0.747,0.531496062
1886,1027.417,1.56,0.437007874
1887,1078.747,4.996,0.216535433
1888,1194.353,10.717,0.299212598
1889,1194.624,0.023,0.362204724
1890,1300.362,8.851,0.440944881
1891,1361.75,4.721,0.374015748
1892,1372.396,0.782,0.499999999
1893,1355.477,-1.233,0.685039369
1894,1403.019,3.507,0.303149606
1895,1487.432,6.017,0.767716535
1896,1536.366,3.29,0.468503937
1897,1609.232,4.743,0.673228346
1898,1697.166,5.464,1.043307086
1899,1853.709,9.224,1.338582676
1900,1952.209,5.314,1.125984251
1901,2016.744,3.306,1.110236219
1902,2067.684,2.526,1.291338581
1903,2254.1,9.016,1.606299211
1904,2279.747,1.138,1.2007874
1905,2427.318,6.473,0.984251968
1906,2534.733,4.425,1.251968503
1907,2888.318,13.95,1.196850392
1908,2776.441,-3.873,1.098425196
1909,2890.495,4.108,1.27559055
1910,3034.09,4.968,1.271653542
1911,3079.502,1.497,1.598425195
1912,3235.964,5.081,1.476377951
1913,3506.276,8.353,1.547244093
1914,3180.355,-9.295,1.795275589
1915,3134.854,-1.431,2.10629921
1916,3385.858,8.007,2.031496061
1917,3540.427,4.565,1.854330707
1918,3493.264,-1.332,1.791338581
1919,3029.007,-13.29,1.854330707
1920,3521.427,16.257,1.905511809
1921,3090.097,-12.249,1.988188974
1922,3240.314,4.861,1.952755904
1923,3676.233,13.453,1.999999998
1924,3687.22,0.299,1.712598423
1925,3727.034,1.08,1.791338581
1926,3661.03,-1.771,2.047244092
1927,3996.129,9.153,2.003937006
1928,3978.763,-0.435,1.850393699
1929,4270.908,7.343,1.905511809
1930,3938.598,-7.781,2.062992124
1931,3519.903,-10.631,2.047244092
1932,3173.476,-9.842,2.271653541
1933,3341.518,5.295,2.440944879
1934,3634.242,8.76,2.228346454
1935,3814.798,4.968,2.448818895
1936,4185.514,9.718,2.295275588
1937,4474.233,6.898,2.519685037
1938,4206.901,-5.975,2.622047241
1939,4451.247,5.808,2.826771651
1940,4861.346,9.213,2.618110234
1941,4970.814,2.252,3.098425194
1942,4959.586,-0.226,3.098425194
1943,5041.694,1.656,3.098425194
1944,5117.909,1.512,2.84645669
1945,4257.136,-16.819,2.95669291
1946,4646.124,9.137,3.251968501
1947,5145.782,10.754,3.374015745
1948,5424.953,5.425,3.562992122
1949,5181.006,-4.497,3.51181102
1950,5929.342,14.444,3.598425193
1951,6381.406,7.624,3.972440941
1952,6467.437,1.348,3.870078736
1953,6650.861,2.836,4.043307082
1954,6789.498,2.084,3.929133854
1955,7443.861,9.638,3.964566925
1956,7925.98,6.477,3.763779524
1957,8185.614,3.276,4.291338578
1958,8417.16,2.829,4.346456688
1959,8854.662,5.198,4.358267712
1960,9386.421,6.005,4.503937003
1961,9414.383,0.298,4.748031491
1962,9746.556,3.528,4.543307082
1963,10266.047,5.33,4.480314956
1964,10823.618,5.431,4.169291334
1965,11309.689,4.491,4.610236216
1966,11861.708,4.881,4.397637791
1967,12236.328,3.158,4.452755901
1968,12904.336,5.459,4.484251964
1969,13760.84,6.637,4.751968499
1970,14898.156,8.265,4.67716535
1971,15502.786,4.058,4.881889759
1972,16223.439,4.649,5.240157475
1973,17083.5,5.301,5.003937003
1974,17009.383,-0.434,5.472440939
1975,17049.979,0.239,5.409448813
1976,17985.242,5.485,5.370078735
1977,18494.652,2.832,5.303149601
1978,19063.955,3.078,5.555118105
1979,19603.002,2.828,5.362204719
1980,19482.441,-0.615,5.598425191
1981,19016.949,-2.389,6.086614167
1982,18865.373,-0.797,5.858267711
1983,18985.9,0.639,6.188976372
1984,19641.729,3.454,6.153543301
1985,20305.131,3.378,5.74803149
1986,20607.514,1.489,5.771653537
1987,21245.783,3.097,5.795275585
1988,22077.385,3.914,5.980314955
1989,22378.969,1.366,6.157480309
1990,22752.701,1.67,6.232283458
1991,23229.475,2.095,6.334645663
1992,22567.199,-2.851,6.35826771
1993,22798.35,1.024,6.291338576
1994,23034.775,1.037,6.499999993
1995,23524.49,2.126,6.618110229
1996,24250.16,3.085,6.787401568
1997,24395.951,0.601,7.066929127
1998,24330.945,-0.266,6.665354324
1999,24833.494,2.065,7.011811016
2000,25501.287,2.689,7.062992119
2001,25674.93,0.681,7.287401567
2002,26248.289,2.233,7.381889756
2003,27648.648,5.335,7.759842512
2004,28620.193,3.514,7.740157472
2005,29592.104,3.396,7.74409448
2006,30605.766,3.425,7.917322827
2007,31499.734,2.921,7.996062984
2008,32041.902,1.721,8.350393692
2009,31493.266,-1.712,8.586614164
2010,33306.328,5.757,8.901574794
2011,34436.469,3.393,8.96456692
2012,34935.453,1.449,9.326771644
2013,35232.469,0.85,8.980314951
2014,35466.195,0.663,
